"comid","PET_mean","ET_mean","NPP_mean"
24125193,117.652994657818,55.020311255204,0.571890598849246
24125421,113.152126914576,57.7200194910953,0.61436665999262
24125567,110.86618483694,65.4362833123458,0.652252372942473
24125633,105.976615504215,46.7542210629112,0.541690318207992
24125699,98.4605279219778,45.5971268101742,0.513441082678343
24125729,96.1454945614463,47.2542009855571,0.562974258473045
24125789,112.633037767912,73.3776245117188,0.688125528787312
24125811,107.745229620683,68.827910573859,0.604712837620785
24125859,91.0464923256322,51.7192093698602,0.497316528307764
24125873,91.2348054584704,50.547993509393,0.476099467591236
24125883,92.5013122558594,49.0979923449065,0.457871780583733
24125945,89.9432168257864,52.0411752399645,0.476109542344746
24125999,91.4602026688425,56.3478409616571,0.531798425473665
24126011,92.1117722360711,57.4698829650879,0.521905759447499
24126041,87.811383699116,51.1881731936806,0.574337532645778
24126059,114.582815069901,76.9537120618318,0.744800043733496
24126061,115.04333054392,77.7970781828228,0.745327162115197
24126203,95.3285795512952,54.2474471644351,0.682950493536497
24126251,110.004054420873,46.2214881495426,0.635906203796989
24126315,115.605192485609,40.3595749704461,0.566264569759369
24126327,115.189986379523,39.8258620814273,0.565407646329779
24126399,126.526535837274,28.0331156881232,0.252972085224955
24126427,125.394033733167,28.8832413522821,0.284787267446518
24126443,123.113016228927,29.8449198070325,0.353660607024243
24126487,119.136882581209,32.7384826258609,0.422059747733568
24126509,116.075666728773,34.6052278217516,0.490787203374662
24126823,92.4425715396279,52.4720053421824,0.630138576030731
24131037,114.047352841026,40.9117383454975,0.54755627481561
24131135,118.910701550935,36.6741013777883,0.446039446090397
24415028,122.947573611611,62.313753027665,0.548649417726617
24422669,113.01053860313,49.8480407313297,0.607454315612191
24422713,108.145279733758,46.5991190860146,0.596545818604921
24422823,102.951601128829,49.9380250228079,0.682838411707627
24422831,101.581645764803,51.6778486151444,0.723211065719002
24422871,103.930099085758,50.6651000976562,0.654847838376698
24422873,104.231002807617,49.9784395318282,0.625458707934932
24422913,104.038707532381,47.577357643529,0.577021238050963
24422975,110.946356923957,54.1161551224558,0.654756781302
24422999,112.626410233347,56.6477482444362,0.661727503726357
24423139,107.480657075581,40.7812779075221,0.388726598338077
24423157,108.378203542609,40.7499879535876,0.461905433943397
24423233,115.210867229261,49.1246428238718,0.607692762425071
24423245,115.112308702971,51.3809858623304,0.631681652445542
24423325,107.28148932206,45.5342132166812,0.642735656939055
24423347,107.450615732293,45.8074935109992,0.633183833799864
24423357,107.92465611508,43.2317958631014,0.529162548090282
24423359,107.912668730083,43.074265931782,0.524257129744479
24423421,108.136024073551,43.7052391453793,0.581101433226937
24423479,127.280818738435,47.8373615867213,0.479039146711952
24423517,117.273981997841,36.9186696504292,0.442859815923791
24423623,108.533155340897,44.371801275956,0.664474970416019
24423655,113.821441248844,39.3842309650622,0.526552648920762
24423673,110.538005628084,42.1926691155685,0.594561865455226
24423679,109.943826374255,43.2172132793226,0.602529475563451
24423897,105.382772746839,48.4291913885819,0.721880846901944
24424703,111.754810935573,41.1457678142347,0.582838309438605
24424705,115.453526547081,36.9959748920641,0.488338040678125
24424753,110.963274102462,43.0772757279245,0.633584226432599
24424869,107.600316900956,42.300694315057,0.611365352806292
24425579,111.858014558491,48.634242409154,0.60260620242671
24505800,103.048227410567,57.6929769014057,0.729070189752077
24526798,120.537614521227,60.1542328282406,0.809530832265553
24526862,110.425159253572,62.1157539769223,0.916446328163147
904020533,195.246289704975,171.012785259046,1.18643197887822
933160077,165.105137072111,90.3763319316663,0.600654573817002
947020557,122.820444207442,62.2944572850278,0.54894777348167
947020558,122.77285846911,62.3231847662675,0.549344216522418
947030105,132.779072811729,56.4828372754549,0.5262547856883
947030106,132.49562474301,56.3438540006939,0.526316799615559
947030170,103.665413304379,46.5324468110737,0.558136133771194
947030171,103.799901861894,46.3236975418894,0.559828651578803
