"site","comid","NPP_mean_kgC_m2_yr","ET_mean_kg_m2_yr","NPP_total_kgC_yr","ET_total_kg_yr","ET_total_m3_yr"
"S11",24422999,0.681902050971985,455.854766845703,152660879.656705,101027635979.021,101027635.979021
"S04",24423139,0.618188560009003,403.899444580078,37044449.3761921,24016136765.1181,24016136.7651181
"S10",24423157,0.62596994638443,404.418182373047,109344075.035947,70092733006.3105,70092733.0063105
"S49R",24423233,0.625236749649048,403.006500244141,473025583.445857,302853841736.55,302853841.73655
"S49R",24423233,0.625236749649048,403.006500244141,473025583.445857,302853841736.55,302853841.73655
"S54",24423245,0.64863783121109,414.973419189453,407876324.276546,259259685289.251,259259685.289251
"S48",24423325,0.686378717422485,428.963928222656,29913792.7509921,18548259594.7827,18548259.5947827
"S48",24423325,0.686378717422485,428.963928222656,29913792.7509921,18548259594.7827,18548259.5947827
"C10",24423347,0.690633237361908,437.58740234375,36686461.5582777,23062143959.5686,23062143.9595686
"C10",24423347,0.690633237361908,437.58740234375,36686461.5582777,23062143959.5686,23062143.9595686
"C10",24423347,0.690633237361908,437.58740234375,36686461.5582777,23062143959.5686,23062143.9595686
"C10",24423347,0.690633237361908,437.58740234375,36686461.5582777,23062143959.5686,23062143.9595686
"S47R",24423357,0.613126456737518,411.676971435547,63112612.1873437,42045249071.7875,42045249.0717875
"S47",24423359,0.610213279724121,409.963195800781,60622709.8413603,40410493959.5465,40410493.9595465
"S45",24423421,0.626357436180115,415.20654296875,98085001.4356679,64506442514.5292,64506442.5145292
"S56",24423479,0.443335980176926,340.06494140625,134717572.583546,102314127157.257,102314127.157257
"S56",24423479,0.443335980176926,340.06494140625,134717572.583546,102314127157.257,102314127.157257
"S56",24423479,0.443335980176926,340.06494140625,134717572.583546,102314127157.257,102314127.157257
"S55",24423517,0.459222674369812,328.730194091797,68732789.585257,48810585634.6657,48810585.6346657
"S55",24423517,0.459222674369812,328.730194091797,68732789.585257,48810585634.6657,48810585.6346657
"S52",24423623,0.698924958705902,428.860626220703,12653842.1583399,7703145584.18169,7703145.58418169
"M01",24423655,0.554222285747528,357.193481445312,44724572.0836892,28598981081.3732,28598981.0813732
"M02",24423673,0.635424911975861,385.871276855469,18391008.9830716,11080587249.7234,11080587.2497234
"M03",24423679,0.64603728055954,390.7421875,4572721.19892152,2743990462.08868,2743990.46208868
"S03",24423897,0.754101455211639,499.675994873047,31510339.2578785,20720198784.5526,20720198.7845526
"NF01",24424703,0.609823346138,375.766296386719,6136790.54390909,3752032285.91616,3752032.28591616
"S65",24424705,0.534472286701202,331.311279296875,3486595.83411672,2144518325.36593,2144518.32536593
"SF01",24424753,0.66873162984848,406.881958007812,7361465.99040432,4443846145.21676,4443846.14521676
"S53",24424869,0.64664226770401,388.646179199219,28287852.2131501,16867575173.5862,16867575.1735862
"T05",24425579,0.66081976890564,424.781555175781,1608012223.84147,1026191469588.26,1026191469.58826
"T05",24425579,0.66081976890564,424.781555175781,1608012223.84147,1026191469588.26,1026191469.58826
"T05",24425579,0.66081976890564,424.781555175781,1608012223.84147,1026191469588.26,1026191469.58826
"MART",24505800,0.798729360103607,565.469787597656,6656692.44701078,4673231541.27673,4673231.54127673
"MART",24505800,0.798729360103607,565.469787597656,6656692.44701078,4673231541.27673,4673231.54127673
"S19S_0079",24526798,0.824375927448273,558.935180664062,8414463124.19244,5653691647148.05,5653691647.14805
"S19S_0078",24526862,0.923177599906921,649.141906738281,21734909.4426935,15136976076.0475,15136976.0760475
"SP-14",904020533,0.707455635070801,637.459838867188,366269102.806031,303613235078.599,303613235.078599
"SP-28",933160077,0.526238739490509,896.4609375,5954082116.23635,10009889671219.1,10009889671.2191
"S19S_0076",947020557,0.491512417793274,392.042175292969,94327144202.0658,55473511408469.9,55473511408.4699
"S19S_0075",947020558,0.492008924484253,392.251220703125,94204075943.6982,55328879859331.1,55328879859.3311
"T07",947030105,0.473716169595718,357.846252441406,6609882834.84696,4954991164405.16,4954991164.40516
"S19S_0060",947030106,0.474934756755829,358.453094482422,6589584173.02688,4935801374660.14,4935801374.66014
"S26R",947030170,0.641155600547791,443.362487792969,340927305.8828,233978996656.772,233978996.656772
"S22RR",947030171,0.640278160572052,441.177001953125,354409465.357409,242362956534.04,242362956.53404
"S19S_0029",10389356,NA,NA,NA,NA,NA
"S19S_0057",22722273,NA,NA,NA,NA,NA
"S19S_0086",10389356,NA,NA,NA,NA,NA
