site,NPP_kgCm2,ET_kgm2year
W20,4178489.24,2702695.095
W10,3041601.29,1862324.112
S27R,449080.7927,313401.2529
S28R,5333137.591,3672347.797
S75,3484960.567,2725543.96
S19S_0036,4097468500,2971744320
S19S_0036,4097468500,2971744320
S58,61400368.96,43366018.3
S50P,41558961.75,27869209.95
T05P,10543016.05,7030993.171
S08,6219786.546,4208758.676
S12,838090.2525,556705.6504
S61,662354.0619,435180.2934
S01,5117873.903,3429841.907
S01,5117873.903,3429841.907
S02,7532918.035,5738912.718
S11,5991616.194,4764090.13
S04,1343016.573,883512.4714
S10,3958691.96,2575182.373
S49R,17902458.3,12541634.93
S49R,17902458.3,12541634.93
S54,15545480.03,10941083.94
S48,1081612.475,680624.6856
S48,1081612.475,680624.6856
C10,1325776.535,845798.1013
C10,1325776.535,845798.1013
C10,1325776.535,845798.1013
C10,1325776.535,845798.1013
S47R,2277094.243,1539453.61
S47,2187195.908,1479550.978
S45,3536234.663,2360272.051
S56,5374899.125,4917845.851
S56,5374899.125,4917845.851
S56,5374899.125,4917845.851
S55,2481545.505,1788617.962
S55,2481545.505,1788617.962
S52,457034.6556,282366.8883
M01,1618290.399,1050158.885
M02,665363.9159,406833.298
M03,165385.2139,100718.3102
S03,1146807.668,765117.776
NF01,222125.4856,137813.333
S65,126222.077,78781.70572
SF01,266255.7869,163115.2592
S53,1022653.808,619192.7361
T05,60524187.8,41938128.94
T05,60524187.8,41938128.94
T05,60524187.8,41938128.94
MART,236769.1956,168777.2929
MART,236769.1956,168777.2929
S19S_0079,291782045.9,205496064.3
S19S_0078,742259.6506,525520.0586
SP-14,26435553.51,14080133.23
SP-28,192468975.6,337960505.7
S19S_0076,4080314552,2948424218
S19S_0075,4074913605,2940999029
T07,288563255.3,281715266.1
S19S_0060,287175519.9,279431698.7
S26R,12471183.06,8683247.942
S22RR,12963307.72,8993714.457
S19S_0029,NA,NA
S19S_0057,NA,NA
S19S_0086,NA,NA
